TractFIPS,race_pc_white,race_pc_black,race_pc_asian,race_pc_hispanic,pov_total,snaphh_total,medicaid_pc_covered,pop_total,medhhinc_all,housing_total,housing_pc_vacant,housing_pc_owneroccupied,housing_pc_renteroccupied,housing_medval,housing_medgrossrent,housing_pc_renttoinc_3034,housing_pc_renttoinc_over35
13121010211,92.1,5.1,2.3,3.0,100.0,1119.0,2.5,2864.0,142750.0,1224.0,8.6,77.2,22.8,856800.0,1645.0,5.5,27.1
13121007602,2.4,95.6,0.0,2.9,914.0,1026.0,37.2,2570.0,32500.0,1191.0,13.9,48.1,51.9,89800.0,936.0,2.7,61.5
13121001700,63.4,32.6,2.3,4.9,335.0,2645.0,8.2,4911.0,94750.0,2918.0,9.4,22.6,77.4,590100.0,1687.0,10.9,22.5
13121007802,0.5,97.1,0.0,1.0,2568.0,3759.0,31.5,10961.0,51388.0,4130.0,9.0,56.6,43.4,186600.0,983.0,12.7,40.6
13121007805,4.2,94.6,1.1,1.6,493.0,1317.0,35.8,3397.0,31174.0,1491.0,11.7,27.0,73.0,108700.0,850.0,4.7,48.8
13121009700,84.1,9.8,5.0,3.0,92.0,1422.0,1.9,3846.0,208750.0,1652.0,13.9,89.7,10.3,859900.0,2083.0,39.6,9.9
13089020200,76.7,7.7,10.0,0.9,200.0,983.0,4.9,1881.0,84867.0,1135.0,13.4,58.1,41.9,535300.0,1265.0,0.0,19.3
13089020400,85.0,2.5,6.2,1.4,183.0,1245.0,2.4,2701.0,106103.0,1342.0,7.2,67.6,32.4,484300.0,1134.0,5.0,26.7
13089020801,64.5,23.6,0.5,0.7,141.0,1046.0,8.1,2509.0,94662.0,1175.0,11.0,79.4,20.6,400700.0,1500.0,3.6,30.2
13121005200,77.5,17.6,2.4,6.2,718.0,2108.0,6.4,5170.0,111759.0,2287.0,7.8,69.6,30.4,309800.0,1515.0,6.1,35.6
13121006400,37.0,59.5,0.0,15.2,279.0,384.0,19.7,936.0,30395.0,469.0,18.1,31.0,69.0,326500.0,771.0,15.6,50.2
13121007200,4.0,94.6,0.0,0.4,765.0,690.0,36.5,2136.0,27083.0,1025.0,32.7,38.4,61.6,97900.0,951.0,4.2,63.0
13121000400,86.5,8.2,4.3,3.4,71.0,1019.0,2.4,2047.0,97257.0,1222.0,16.6,65.1,34.9,489300.0,1773.0,19.7,14.7
13121000100,90.0,2.4,2.4,4.9,101.0,2084.0,2.1,5410.0,168396.0,2140.0,2.6,75.4,24.6,736400.0,1825.0,0.0,11.9
13121000600,49.3,19.8,26.6,5.9,2878.0,2994.0,1.5,7952.0,53686.0,3471.0,13.7,19.7,80.3,205000.0,1621.0,4.8,50.0
13121003500,35.8,57.5,3.2,2.3,932.0,714.0,13.5,2074.0,53889.0,821.0,13.0,34.5,65.5,190300.0,1381.0,8.2,42.3
13121004100,12.9,80.9,3.7,2.3,544.0,741.0,27.7,2214.0,54208.0,1190.0,37.7,55.6,44.4,256100.0,1177.0,11.9,50.3
13121005000,57.7,35.7,2.7,2.7,141.0,1414.0,5.4,2586.0,75570.0,1599.0,11.6,41.7,58.3,363600.0,1463.0,8.1,29.0
13121005502,7.7,92.3,0.0,0.0,1171.0,1235.0,35.6,2846.0,21804.0,1457.0,15.2,21.1,78.9,150000.0,765.0,9.6,54.1
13121006100,3.8,94.5,0.0,3.1,1118.0,1345.0,36.1,3908.0,29323.0,1695.0,20.6,47.9,52.1,77700.0,1025.0,8.6,52.0
13121006300,8.5,85.1,0.7,2.0,559.0,703.0,32.9,1492.0,31483.0,1154.0,39.1,29.0,71.0,140000.0,837.0,4.9,52.8
13121007500,11.3,85.8,1.0,3.1,1130.0,1548.0,34.0,3348.0,26205.0,2027.0,23.6,33.6,66.4,75200.0,833.0,13.9,58.3
13121007807,2.3,94.4,0.0,1.9,1700.0,1049.0,62.1,3404.0,24398.0,1477.0,29.0,35.6,64.4,69800.0,884.0,8.2,53.7
13121007808,0.0,94.8,0.0,5.2,3513.0,1431.0,63.9,4580.0,12485.0,1970.0,27.4,11.0,89.0,80600.0,666.0,6.1,66.8
13121008102,2.8,94.5,1.0,4.6,1345.0,2842.0,37.7,6647.0,27119.0,3390.0,16.2,23.5,76.5,122900.0,786.0,8.5,48.8
13121002100,33.5,56.4,8.1,5.0,979.0,885.0,19.9,2409.0,68618.0,1156.0,23.4,42.7,57.3,245500.0,1091.0,5.8,35.4
13121007900,3.9,95.6,0.0,0.9,363.0,2364.0,14.1,5210.0,61125.0,2548.0,7.2,71.2,28.8,172400.0,1352.0,2.3,51.1
13121003900,1.1,96.9,0.0,2.1,645.0,756.0,26.8,2090.0,33000.0,1023.0,26.1,31.9,68.1,89300.0,964.0,16.8,46.0
13121008500,4.7,92.6,0.0,0.0,659.0,981.0,40.2,2551.0,24890.0,1581.0,38.0,38.6,61.4,57800.0,1029.0,2.8,65.6
13121008902,60.3,34.0,4.4,5.5,1190.0,4392.0,1.6,8007.0,72432.0,5011.0,12.4,32.7,67.3,282400.0,1353.0,16.3,24.6
13121009900,96.3,0.4,1.2,2.0,204.0,2130.0,1.1,5213.0,152500.0,2327.0,8.5,70.8,29.2,875000.0,1385.0,10.5,18.0
13121000200,89.6,2.4,2.8,5.8,335.0,2696.0,1.6,6175.0,158011.0,2806.0,3.9,72.0,28.0,661600.0,1685.0,1.1,11.2
13121001900,41.9,33.5,18.5,5.4,627.0,1400.0,5.0,5064.0,62656.0,1931.0,27.5,38.6,61.4,301800.0,1280.0,4.1,32.9
13121002900,50.0,39.2,6.4,3.6,353.0,1248.0,12.0,2425.0,71210.0,1569.0,20.5,33.8,66.2,346200.0,1459.0,13.0,37.5
13121003000,80.1,9.4,5.0,3.2,161.0,1837.0,1.7,3630.0,113125.0,2031.0,9.6,53.8,46.2,491700.0,1548.0,5.9,21.4
13121004300,14.9,77.4,5.1,1.9,358.0,606.0,10.5,2846.0,36750.0,651.0,6.9,32.7,67.3,267900.0,885.0,7.0,53.8
13121005800,20.3,71.5,3.9,2.7,389.0,576.0,31.0,1479.0,42679.0,773.0,25.5,53.3,46.7,176300.0,842.0,3.9,50.8
13121008301,5.7,93.3,0.0,3.5,755.0,883.0,29.2,2327.0,25060.0,1577.0,44.0,41.7,58.3,85800.0,797.0,17.8,62.5
