TractFIPS,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
13089020100,10.0,16.1,19.6,22.6,70.8,6.1,7.1,3.4,71.2,87.3,74.9,3.5,45.0,42.5,9.6,84.8,5.9,28.1,2.0,17.9,80.2,8.1,21.5,6.7,29.8,1.7,4.8
13089020200,10.3,14.7,21.2,21.2,69.5,5.5,7.5,3.2,69.8,83.7,74.4,3.4,44.1,42.3,10.4,81.9,5.5,25.6,1.9,17.8,79.9,8.8,20.8,6.3,30.8,1.6,5.7
13089020300,10.1,14.3,21.0,20.6,66.4,5.0,7.6,2.8,69.3,85.4,72.3,3.4,42.1,40.7,11.3,82.7,5.3,25.4,1.8,18.2,80.4,9.1,22.4,6.7,31.7,1.5,5.6
13089020400,9.6,12.0,22.7,17.6,62.3,4.2,7.5,2.2,68.0,83.6,74.2,2.7,43.4,42.5,10.3,84.2,4.2,22.4,1.6,16.6,80.5,8.8,21.0,5.7,30.9,1.2,4.2
13089020500,19.4,18.8,16.8,32.8,76.0,5.4,9.4,4.8,74.3,81.4,68.3,5.4,29.3,28.8,17.2,65.9,10.9,27.3,3.1,28.5,81.6,12.0,30.0,10.0,39.3,3.5,17.8
13089020600,19.5,15.4,17.3,28.2,69.1,3.9,9.5,3.7,71.3,78.1,63.3,4.9,27.0,26.5,19.1,61.9,8.9,24.0,2.7,29.1,82.6,13.6,31.6,9.9,40.9,2.8,20.5
13089020700,17.2,16.9,17.6,29.5,73.0,4.7,9.3,4.0,73.1,81.7,68.5,4.8,30.3,30.3,16.6,69.7,9.2,25.7,2.7,26.4,82.3,11.8,29.1,9.3,38.5,2.9,14.7
13089020801,15.6,17.4,18.3,29.3,74.7,5.4,8.8,4.1,73.0,83.1,71.2,4.5,31.9,31.6,14.9,72.3,9.0,26.1,2.7,24.5,81.3,10.7,27.1,8.6,36.7,2.9,13.6
13089020802,19.0,20.2,15.4,34.8,76.8,5.5,9.7,5.1,75.7,83.2,68.9,5.9,29.9,29.8,17.6,67.6,11.7,28.6,3.3,29.6,82.2,12.2,31.8,10.7,39.6,3.7,15.9
13089020900,18.1,18.3,18.1,31.9,75.4,5.3,8.9,4.5,73.9,82.9,72.3,5.1,31.2,32.0,16.8,71.1,10.2,27.5,2.8,26.7,82.1,11.1,28.9,9.3,38.1,3.1,13.5
13089023700,24.5,13.9,14.6,28.4,65.4,3.1,11.7,2.9,76.8,76.8,56.8,4.7,26.1,23.7,19.7,57.7,8.5,20.4,2.6,31.9,81.6,15.5,33.2,10.0,44.8,2.7,23.3
13121000100,9.7,15.5,22.5,21.3,72.7,6.0,7.3,3.4,68.6,86.2,71.0,3.6,40.9,43.3,10.2,80.9,5.5,28.2,1.9,17.3,83.0,8.3,21.0,6.7,29.9,1.6,5.8
13121000200,10.2,14.4,23.5,20.8,71.3,5.4,7.1,3.3,67.5,84.9,70.7,3.4,40.0,41.9,10.5,80.2,5.3,27.0,1.9,17.4,83.4,8.3,21.4,6.5,30.4,1.6,5.7
13121000400,10.3,16.1,21.8,23.2,75.3,6.2,7.4,4.0,69.9,84.6,72.6,3.8,41.2,44.6,9.8,80.2,6.1,28.7,2.1,17.7,82.8,8.4,21.0,6.7,29.7,1.8,5.6
13121000500,12.1,11.6,23.2,18.7,67.3,4.2,7.6,2.7,67.6,80.1,70.9,2.9,40.4,43.1,10.3,78.4,4.7,22.7,1.7,17.7,83.5,9.1,20.7,5.9,31.6,1.4,5.8
13121000600,18.4,6.6,22.7,14.4,50.5,1.7,8.0,1.6,62.9,66.4,55.0,2.7,29.2,30.1,14.1,60.4,3.6,15.2,1.5,22.3,84.8,12.8,21.0,6.3,36.6,1.1,14.8
13121000700,30.6,11.8,23.7,28.0,63.3,2.7,9.2,3.6,68.5,72.6,51.9,5.1,24.4,30.0,25.3,48.8,7.9,22.7,2.2,31.3,81.1,14.2,32.5,10.3,44.7,2.5,24.9
13121001001,15.4,6.0,24.6,12.4,49.7,2.0,6.3,1.4,61.7,72.7,61.9,1.9,36.9,39.9,11.6,69.8,3.0,16.1,1.2,18.4,83.5,9.2,16.7,4.8,34.8,0.8,8.1
13121001002,20.5,3.6,26.3,9.4,27.6,0.9,8.4,1.0,59.4,55.4,52.8,2.4,25.1,27.3,14.7,61.0,1.9,9.9,1.2,21.9,84.2,16.0,17.0,5.6,34.4,0.6,20.2
13121001100,12.0,11.7,24.9,19.2,67.3,4.2,7.1,2.7,65.8,81.8,69.5,2.9,36.5,40.3,11.3,75.9,5.0,23.7,1.7,17.6,84.3,8.7,21.5,6.0,32.6,1.4,6.6
13121001201,13.3,11.2,25.2,18.6,66.0,4.0,7.5,2.8,65.2,79.1,69.6,3.0,36.5,38.5,11.8,75.3,4.8,22.2,1.7,18.2,82.6,9.3,21.4,6.1,32.3,1.5,7.9
13121001202,11.4,8.3,27.4,15.4,59.7,3.0,6.7,1.8,64.2,79.8,68.5,2.0,39.0,42.9,9.8,78.0,3.6,19.3,1.3,15.4,84.5,8.0,19.8,4.7,32.3,1.0,5.2
13121001300,15.1,11.1,25.3,19.0,64.2,3.6,7.8,2.7,64.9,77.9,65.7,3.3,35.2,35.8,14.1,71.6,4.9,22.0,1.7,20.2,83.2,10.5,23.1,6.8,34.0,1.5,10.3
13121001400,11.7,10.2,25.7,15.8,61.3,3.5,7.5,2.1,63.6,79.3,67.1,2.8,37.9,41.1,11.8,77.0,3.8,21.2,1.5,17.5,83.5,9.6,21.1,5.9,31.6,1.1,6.0
13121001500,13.7,12.6,24.0,20.3,68.3,4.2,7.7,3.1,65.0,79.1,66.2,3.7,35.1,38.7,13.5,72.6,5.6,24.3,1.9,20.3,82.9,10.4,23.6,7.2,32.9,1.7,8.6
13121001600,12.3,9.6,26.7,15.2,58.5,3.3,7.6,1.9,63.4,79.2,67.0,2.6,37.5,42.7,12.4,75.7,3.5,19.8,1.4,17.5,83.1,9.7,21.5,5.7,32.9,1.1,6.9
13121001700,15.5,12.5,20.8,24.1,70.6,3.7,8.9,2.8,71.3,81.0,65.5,3.2,28.9,32.7,12.8,68.7,6.8,22.1,2.1,21.8,85.8,10.4,27.1,7.0,37.9,2.0,11.9
13121001800,18.0,17.3,18.2,30.8,76.9,4.7,9.1,4.9,71.1,79.9,62.2,5.4,25.3,28.8,16.5,58.8,10.4,28.4,3.0,27.2,85.1,12.1,30.3,10.0,39.1,3.2,17.8
13121001900,19.1,9.8,23.2,20.6,65.0,2.4,8.6,2.8,66.2,69.8,61.5,3.6,27.0,32.2,15.7,64.2,6.2,20.0,1.9,23.9,84.8,13.2,24.7,7.6,37.3,1.8,13.7
13121002100,23.5,17.3,16.8,35.3,75.7,3.7,9.6,5.4,71.6,78.3,50.5,6.6,23.0,25.7,23.0,49.1,12.5,29.0,3.2,34.2,84.9,14.9,37.6,12.9,44.6,3.8,22.8
13121002300,30.4,26.7,12.1,49.1,83.1,5.6,11.7,9.4,78.3,81.8,52.3,11.0,18.8,22.2,27.3,41.4,20.7,35.9,5.2,43.5,84.3,16.9,43.9,18.6,47.6,7.1,33.7
13121002400,25.1,25.1,12.4,46.0,83.2,5.8,11.1,8.1,79.1,83.6,56.4,8.8,21.1,24.7,22.0,48.9,18.2,34.0,4.7,38.6,84.8,14.6,40.5,15.4,45.5,6.1,26.9
13121002500,26.9,19.8,14.6,38.5,77.3,4.3,11.5,6.1,76.1,78.4,54.2,7.5,20.3,24.0,22.8,47.0,14.3,29.0,3.9,36.5,85.2,15.9,38.6,13.8,45.7,4.7,28.3
13121002600,30.1,20.2,13.6,40.1,76.2,4.0,12.0,6.2,75.3,76.7,48.3,8.5,18.4,22.9,27.4,40.1,15.1,29.0,4.2,41.3,84.9,18.4,43.1,15.9,48.2,5.1,34.1
13121002800,21.6,9.6,19.1,20.1,60.6,2.3,10.9,2.9,69.0,66.3,58.4,4.1,22.7,24.8,16.2,57.1,6.1,17.6,2.2,27.2,84.4,16.9,26.2,8.4,38.7,2.0,23.4
13121002900,16.8,13.2,21.8,25.0,72.4,4.0,8.4,3.6,68.8,79.0,67.2,3.7,28.2,31.2,14.4,68.5,7.5,23.6,2.3,23.0,85.7,10.7,26.3,7.6,36.3,2.3,12.5
13121003000,10.5,11.1,25.5,16.7,64.3,4.1,7.4,2.2,65.4,82.1,70.8,2.7,40.7,43.0,10.5,79.5,4.0,22.3,1.5,16.3,84.0,8.7,20.7,5.6,31.2,1.2,5.4
13121003100,18.3,13.5,21.9,24.5,71.3,3.8,8.9,3.4,67.9,76.8,63.3,4.2,26.1,30.2,16.2,62.9,7.4,23.4,2.3,24.5,85.5,12.0,27.0,8.4,37.6,2.3,16.8
13121003200,13.8,9.6,26.6,16.0,59.5,3.3,7.9,1.9,64.3,78.8,67.3,2.7,33.6,40.8,13.3,74.0,3.7,19.2,1.4,18.2,83.6,10.0,22.1,5.8,33.8,1.1,8.4
13121003500,29.3,15.6,18.1,34.5,72.2,3.0,9.5,5.6,68.5,73.7,45.7,7.2,19.6,26.8,27.3,45.1,12.4,28.1,3.2,37.1,83.6,16.6,39.0,14.1,44.6,3.8,26.0
13121003600,22.4,17.4,16.7,34.0,75.9,4.4,10.2,5.1,75.3,79.8,64.4,5.5,24.1,28.3,18.1,58.7,11.5,26.7,3.2,30.5,85.9,13.1,33.9,10.6,42.2,3.7,18.6
13121003800,24.6,5.1,21.8,16.7,36.8,1.0,11.0,1.3,71.4,63.7,58.1,2.7,23.3,26.7,15.7,55.7,3.3,10.6,1.6,25.8,86.6,16.7,26.7,6.5,41.6,1.1,21.8
13121003900,29.4,24.2,13.0,44.7,80.8,5.3,11.6,8.1,77.6,79.4,53.3,9.6,19.3,22.5,25.4,43.5,18.1,32.9,4.8,41.6,85.2,16.7,41.9,16.5,46.4,6.3,32.0
13121004000,25.7,26.1,12.4,46.8,83.6,6.3,11.0,8.4,79.7,83.8,60.1,9.0,22.6,25.7,21.5,52.9,18.5,34.3,4.9,38.8,85.6,14.3,39.9,15.4,44.1,6.3,23.6
13121004100,27.7,23.0,13.4,42.4,80.1,5.1,11.4,7.2,76.7,80.7,52.6,8.8,19.7,23.4,24.1,43.5,16.6,32.1,4.4,38.6,84.3,15.9,40.3,15.6,46.7,5.5,30.7
13121004200,27.8,26.0,11.9,46.0,82.9,6.1,11.6,8.9,78.7,81.0,59.0,9.9,20.7,24.9,22.7,48.8,19.0,34.6,5.1,39.8,84.8,15.6,40.1,16.3,43.7,6.7,27.0
13121004300,23.5,8.8,15.0,19.8,53.9,1.7,13.8,2.0,73.7,67.8,54.0,4.0,21.2,24.7,17.9,54.1,5.3,14.7,2.2,30.3,85.5,20.0,30.2,9.0,42.8,1.7,24.5
13121004400,30.4,19.2,13.3,37.5,74.2,4.0,12.5,6.2,75.5,73.9,54.6,8.3,18.5,22.8,25.8,41.0,14.1,27.4,4.2,40.6,85.1,19.0,41.2,15.0,46.8,5.0,32.5
13121004800,26.9,23.2,12.5,41.1,80.1,5.4,11.9,7.3,77.0,78.1,58.7,8.9,20.6,24.6,22.2,49.0,16.6,31.6,4.8,38.9,85.1,16.7,39.5,15.4,43.1,5.8,26.1
13121004900,14.5,15.0,20.5,25.4,72.7,4.5,8.6,3.4,70.0,82.5,64.3,4.1,30.1,33.7,14.1,67.8,7.3,25.8,2.3,22.6,85.1,10.7,27.6,8.2,37.1,2.2,11.8
13121005000,13.1,13.6,23.5,22.0,71.5,4.9,7.7,3.2,67.9,82.0,67.7,3.3,32.7,32.7,11.9,73.3,5.9,24.0,2.1,19.6,83.4,9.3,22.9,6.7,33.7,1.9,10.6
13121005200,13.8,12.3,23.3,20.2,65.9,4.0,8.1,2.6,67.1,81.5,66.5,3.4,35.6,37.5,13.7,73.3,5.2,23.0,1.8,20.2,84.0,10.2,24.6,7.0,34.8,1.6,8.8
13121005300,11.8,11.9,23.3,20.3,68.1,4.0,7.9,2.4,68.2,82.7,69.6,2.8,34.6,38.3,11.3,75.7,5.2,22.5,1.7,18.4,85.6,9.1,23.9,6.1,34.2,1.5,7.8
13121005501,25.8,18.1,15.6,34.6,75.3,4.0,11.0,5.1,73.3,77.2,52.9,6.8,19.3,23.7,23.6,45.8,12.2,27.5,3.4,35.6,84.9,16.0,37.1,13.0,45.2,4.0,28.3
13121005502,29.4,21.3,12.7,39.5,76.8,4.5,12.6,6.7,75.9,75.9,53.4,8.9,18.8,21.8,26.1,41.0,15.3,29.0,4.5,41.2,85.0,18.8,41.8,15.9,46.9,5.5,33.0
13121005700,29.6,24.6,12.3,44.7,80.9,5.4,12.0,8.4,77.8,79.2,53.0,9.8,18.2,22.0,25.3,40.1,18.4,33.0,5.0,41.8,84.6,17.1,42.3,16.8,47.2,6.5,34.1
13121005800,27.6,20.4,14.0,38.8,78.5,4.6,10.6,6.5,74.9,79.2,52.8,7.8,21.7,25.0,23.6,46.9,14.7,30.7,3.9,37.8,83.8,15.4,37.4,14.3,45.2,4.8,27.5
13121006000,28.3,25.5,12.5,46.2,82.6,5.7,11.5,8.3,78.5,81.9,54.7,9.7,20.4,24.2,24.7,45.6,18.6,34.2,4.8,40.9,84.3,15.9,41.3,16.5,46.0,6.4,30.0
13121006100,27.9,27.7,11.6,48.8,84.2,6.3,11.7,9.1,79.8,82.9,55.6,10.4,20.0,23.9,24.2,43.9,20.4,35.9,5.2,41.9,84.3,15.8,42.2,17.2,46.3,7.0,31.6
13121006200,29.7,23.6,13.2,44.0,80.6,5.0,11.6,7.6,77.4,79.9,54.3,9.3,20.2,24.3,25.8,45.7,17.4,32.6,4.5,41.2,84.4,16.5,41.3,16.2,46.5,5.9,30.2
13121006300,29.9,23.6,13.4,43.6,80.5,5.2,11.7,7.5,77.4,80.4,49.7,9.2,18.6,22.5,25.8,38.9,17.0,32.5,4.4,40.8,83.3,16.3,40.7,16.0,48.0,5.7,36.8
13121006400,30.2,17.3,16.2,33.6,73.8,3.8,10.6,4.9,72.3,77.7,55.3,6.5,21.3,25.8,22.9,50.3,12.2,27.4,3.3,35.9,84.6,15.6,37.4,13.1,44.2,3.7,24.2
13121006500,26.8,23.9,14.0,42.1,81.0,5.6,11.3,7.2,76.6,81.0,57.6,8.9,21.3,26.4,23.8,49.1,16.2,32.9,4.3,38.2,83.8,15.5,38.6,15.3,44.7,5.4,27.0
13121006601,24.7,22.2,14.7,39.6,79.6,5.1,11.0,6.2,76.0,81.6,56.9,8.0,23.4,28.1,22.9,51.5,14.5,31.5,3.8,36.3,84.6,15.1,38.2,14.2,44.7,4.6,23.6
13121006602,35.0,25.9,11.4,47.7,81.0,4.8,12.8,9.1,76.8,77.0,46.1,12.2,16.6,18.7,32.6,33.0,20.6,34.4,5.4,49.1,84.2,20.8,47.3,20.6,50.1,7.4,42.2
13121006700,28.9,23.2,13.5,41.7,80.0,5.5,11.5,7.3,76.9,80.3,56.1,8.7,20.5,24.3,23.8,45.2,16.0,31.7,4.4,38.8,83.3,15.6,38.8,15.1,45.3,5.5,30.5
13121006801,37.0,12.5,23.5,31.4,64.7,2.5,7.5,4.9,63.5,70.8,39.4,6.2,18.2,,30.6,39.0,10.4,26.7,2.6,38.1,83.7,15.2,38.4,12.9,45.4,3.0,26.4
13121006802,39.3,20.8,10.9,40.2,73.9,3.6,14.5,7.0,74.9,69.0,43.7,11.3,13.7,15.9,35.2,25.8,15.9,28.1,4.9,50.7,83.5,25.0,46.4,20.0,51.4,6.2,53.0
13121006900,23.8,15.5,20.3,27.4,71.4,4.1,9.2,3.9,69.2,79.2,56.9,5.3,25.0,29.2,19.8,54.5,8.7,26.2,2.5,29.1,82.8,13.0,30.7,10.3,40.9,2.6,21.3
13121007001,30.6,25.4,12.3,45.7,81.5,5.3,12.1,8.3,77.3,79.7,51.1,10.7,17.9,22.3,27.6,39.8,19.0,34.2,4.9,43.5,84.2,17.9,43.4,18.1,47.6,6.5,34.9
13121007002,31.7,20.0,14.4,37.9,76.5,4.2,11.4,5.9,74.5,77.7,53.9,8.0,20.8,24.9,25.6,46.0,14.3,29.4,3.8,39.9,84.6,16.8,39.5,14.9,45.8,4.6,28.2
13121007100,29.5,26.1,12.1,46.4,82.7,6.2,11.7,8.7,79.2,81.3,53.0,9.8,19.0,22.4,24.0,41.7,18.8,34.0,5.1,42.0,83.8,15.9,40.5,16.5,46.5,6.7,35.0
13121007200,29.4,24.7,12.4,45.3,81.5,5.1,11.8,7.8,77.9,80.4,53.4,9.8,19.3,23.8,26.1,43.7,18.5,33.6,4.7,42.3,85.0,17.1,42.9,17.0,47.0,6.1,30.1
13121007300,31.4,23.6,12.1,43.3,79.5,4.6,12.7,7.2,76.9,77.7,50.4,10.1,17.9,21.7,28.6,38.4,17.6,32.0,4.7,44.2,84.7,19.1,43.9,17.8,48.5,5.9,35.6
13121007400,35.4,26.7,11.5,46.6,82.2,5.7,11.7,10.1,75.9,77.9,50.8,12.0,18.6,21.8,28.4,38.9,20.8,36.1,5.6,47.2,83.0,18.7,43.8,19.9,45.9,7.5,36.5
13121007500,28.2,25.6,12.2,45.9,82.6,5.7,11.3,8.5,77.8,81.1,52.9,10.1,20.1,23.6,25.1,42.8,18.8,34.9,4.8,41.8,84.4,16.4,41.8,17.0,46.2,6.3,31.4
13121007602,24.0,25.9,11.9,46.8,84.2,6.3,11.0,8.2,80.2,84.1,60.8,8.7,22.1,27.3,20.6,52.2,18.9,34.9,4.8,37.9,85.8,14.0,40.3,14.9,44.1,6.1,23.4
13121007603,33.1,29.5,10.3,50.0,83.6,6.0,12.9,11.0,77.7,78.0,48.0,13.9,16.8,19.7,30.3,34.4,23.0,37.4,6.4,49.2,83.7,20.5,46.3,22.0,47.8,8.7,41.8
13121007604,32.4,22.4,12.1,42.6,78.3,4.1,12.9,7.0,76.5,76.0,48.6,10.1,17.4,22.0,29.6,38.2,17.2,30.9,4.6,45.0,84.6,20.1,44.8,18.0,48.5,5.9,36.4
13121007703,24.0,25.9,12.3,45.7,83.9,6.5,11.2,7.5,80.4,85.2,64.7,8.3,24.0,30.2,19.9,56.7,17.7,34.2,4.5,36.1,84.8,13.4,38.8,14.2,43.5,5.7,20.2
13121007704,26.6,21.5,13.7,40.0,79.3,4.9,11.5,6.0,77.9,81.0,60.7,7.5,22.1,27.6,22.2,52.6,14.7,29.9,3.9,36.9,85.2,15.1,38.6,13.6,44.9,4.8,23.3
13121007705,26.2,27.7,11.1,48.0,84.5,6.8,11.6,9.0,80.5,83.3,59.9,9.7,20.9,25.2,21.4,48.5,19.8,35.3,5.3,40.1,84.7,14.8,40.7,16.0,44.2,6.9,27.3
13121007706,26.2,19.6,14.6,37.1,76.7,4.4,11.5,5.2,76.4,80.4,62.0,6.9,23.4,28.9,22.5,54.5,13.0,28.1,3.5,35.2,85.7,15.1,37.9,13.0,44.9,4.1,20.8
13121007802,22.1,21.8,13.5,40.7,81.0,5.3,10.9,5.9,78.9,84.0,63.1,6.7,23.9,29.8,19.0,57.5,14.7,30.7,3.8,33.6,86.3,13.3,37.9,12.5,43.5,4.5,18.7
13121007805,29.2,28.9,11.6,48.9,86.3,7.4,10.5,9.5,80.1,84.5,61.3,9.6,21.1,25.9,19.3,48.9,20.6,37.0,5.4,40.0,83.5,13.2,38.6,15.6,42.6,7.0,28.0
13121007806,24.0,25.2,12.6,44.6,83.2,6.1,11.3,7.1,80.3,84.5,56.8,8.1,20.5,24.9,20.3,46.6,17.0,33.1,4.4,36.7,84.6,13.9,38.8,14.1,46.1,5.5,29.4
