TractFIPS,interDen,sidewalkDen,stopDen,aadt_sum_2017,aadt_avg_2017,ht_ami_2017,h_ami_2017,t_ami_2017,co2_hh_2017,autos_hh_ami_2017,vmt_hh_ami_2017,transit_trips_ami_2017,inter_ct,blk_avg_sqmi,sidewalk_sum_ft,stop_ct,area_sqmi
13121010211,2.68178643,0,2.68178643,2150,1075,86,63,23,9.52,1.83,21310,80,122,0.05344345,0,4,1.491543083
13121007602,23.0566726,0,23.0566726,24580,4096.666667,44,23,21,5.11,1.64,18525,271,54,0.05422563,0,30,1.301141779
13121001700,85.09899531,28.59839135,85.09899531,62990,15747.5,43,26,17,5.12,1.31,13672,486,90,0.00815737,72750.30399,41,0.481791822
13121007802,6.846984066,0,6.846984066,47570,5946.25,52,29,23,9.64,1.8,22033,101,302,0.11450304,0,36,5.257789364
13121007805,10.71130976,0,10.71130976,494480,38036.92308,43,22,21,7.84,1.63,20498,121,145,0.15908687,0,63,5.881633658
13121009700,0.476419821,0.433958942,0.476419821,257420,23401.81818,101,77,24,9.5,1.93,21977,46,149,0.10682675,9618.837751,2,4.197978152
13089020200,30.49812656,13.72200437,30.49812656,40530,13510,63,44,19,6.46,1.54,17087,294,42,0,42761.27831,18,0.590200187
13089020400,23.0264643,27.5258513,23.0264643,59180,9863.333333,47,28,20,6.7,1.54,17106,357,66,0,56805.42258,9,0.390854622
13089020801,26.16864632,4.227181274,26.16864632,14480,4826.666667,59,37,22,7.77,1.79,19975,202,108,0,11940.74527,14,0.534991372
13121005200,46.83536736,10.8028155,46.83536736,268480,29831.11111,53,33,21,7.15,1.64,18408,269,198,0.00752181,49932.19619,41,0.87540682
13121006400,41.23161769,7.841737637,41.23161769,10180,3393.333333,39,19,20,8.26,1.59,18139,213,68,0.00955219,20083.7919,20,0.485064645
13121007200,12.13022853,0.02804189,12.13022853,367780,24518.66667,42,20,22,7.74,1.72,21182,99,98,0.12995373,512.650493,42,3.462424463
13121000400,38.72454827,30.04226279,38.72454827,42090,14030,73,54,19,5.79,1.47,16801,533,68,0.02780391,98308.55341,24,0.61976191
13121000100,19.33663355,9.127499051,19.33663355,35540,8885,90,68,22,7.92,1.78,18992,153,132,0.01594423,62308.13063,25,1.292882752
13121000600,58.54686604,28.87342601,58.54686604,43500,21750,43,27,16,4.55,1.24,12722,587,136,0.00833853,85929.5207,33,0.563651007
13121003500,108.6709936,33.44196357,108.6709936,234510,11725.5,41,25,17,4.74,1.2,15093,736,115,0.00657618,95865.84988,59,0.542923167
13121004100,51.38461297,2.671030707,51.38461297,203890,29127.14286,38,19,19,6.23,1.52,16613,382,100,0.00475324,6861.508146,25,0.486526969
13121005000,19.04323573,22.43450371,19.04323573,528850,31108.82353,56,36,20,7.07,1.58,17571,371,120,0.00463078,62202.73874,10,0.525120843
13121005502,51.73380956,1.74441509,51.73380956,18510,6170,33,15,18,4.85,1.41,15994,298,98,0.01269864,6053.242541,34,0.657210445
13121006100,39.19068854,0,39.19068854,9970,4985,44,22,22,7.53,1.71,19076,283,128,0.01234343,0,34,0.867553015
13121006300,52.74657501,3.714366191,52.74657501,60950,10158.33333,38,19,20,5.97,1.57,16698,293,112,0.00477199,10038.94328,27,0.511881577
13121007500,37.70007678,0.093735842,37.70007678,204880,9756.190476,35,17,19,5.37,1.47,16750,394,96,0.0249258,630.1420636,48,1.273206956
13121007807,38.41988879,0,38.41988879,324640,21642.66667,40,20,21,6.68,1.65,19148,194,70,0.0390777,0,43,1.119211985
13121007808,69.87543649,0,69.87543649,182520,30420,32,14,18,5.54,1.39,16249,347,24,0.03042585,0,44,0.629691952
13121008102,30.79439675,0.096694266,30.79439675,206520,25815,35,16,19,5.66,1.48,16773,477,126,0.06735531,1425.808681,86,2.792715853
13121002100,93.40722312,34.7302846,93.40722312,27120,9040,43,27,16,5.2,1.16,14584,733,86,0.0094468,54969.23536,28,0.299762685
13121007900,20.22456829,0.409362635,20.22456829,172760,17276,50,27,23,8.4,1.82,21380,142,174,0.09873273,7053.532278,66,3.263357667
13121003900,83.03797495,6.443603718,83.03797495,1350,1350,38,19,19,6.12,1.49,16297,417,110,0.00604746,11062.40672,27,0.325152438
13121008500,41.25761905,4.406386546,41.25761905,22210,5552.5,42,21,21,7.06,1.69,18753,250,164,0.02425826,33270.87527,59,1.430038896
13121008902,36.30813529,1.45029218,36.30813529,673880,33694,47,28,19,6.18,1.49,16676,274,202,0.02372598,21090.4256,100,2.754203685
13121009900,2.98271692,0,2.98271692,55310,7901.428571,79,57,22,7.97,1.73,20157,148,148,0.07690041,0,9,3.017383225
13121000200,31.49113048,16.28397284,31.49113048,70790,14158,59,38,21,6.94,1.67,17973,172,140,0.02342475,95559.517,35,1.111424057
13121001900,68.82620772,44.7751244,68.82620772,908510,45425.5,43,28,15,4.34,1.1,13575,814,110,0.00455121,92742.86501,27,0.392292426
13121002900,54.34441401,23.0093881,54.34441401,34070,8517.5,42,26,17,5.18,1.26,13947,588,80,0.00609486,33533.21565,15,0.276017329
13121003000,6.556076997,29.48647144,6.556076997,7790,3895,53,35,18,5.99,1.42,15732,527,104,0.00932695,71241.62183,3,0.457590721
13121004300,71.6605387,37.54219125,71.6605387,28600,9533.333333,38,22,15,4.84,1.15,13560,614,32,0.01746623,47024.29077,17,0.237229587
13121005800,30.92045603,8.281873256,30.92045603,228840,32691.42857,42,23,19,6.11,1.5,15311,481,106,0.00894564,21213.27549,15,0.485115743
13121008301,53.21540007,1.856538494,53.21540007,10220,2044,40,20,20,6.31,1.58,17563,338,106,0.02588738,9947.047006,54,1.014743851
13121007300,17.21892873,0.16247952,17.21892873,403690,26912.66667,37,18,20,6.84,1.56,18670,138,184,0.06539739,2540.951982,51,2.961856734
13121007806,36.14957417,0,36.14957417,24830,6207.5,40,19,21,7.31,1.67,20119,142,142,0.07980393,0,70,1.93639902
