TractFIPS,variable,value,year
13089020100,ACCESS2_CrudePrev,10.1,2020
13089020200,ACCESS2_CrudePrev,10.7,2020
13089020300,ACCESS2_CrudePrev,10.5,2020
13089020400,ACCESS2_CrudePrev,10.2,2020
13089020500,ACCESS2_CrudePrev,20.8,2020
13089020600,ACCESS2_CrudePrev,21.1,2020
13089020700,ACCESS2_CrudePrev,16.5,2020
13089020801,ACCESS2_CrudePrev,15.1,2020
13089020802,ACCESS2_CrudePrev,19.2,2020
13089020900,ACCESS2_CrudePrev,18.6,2020
13089023700,ACCESS2_CrudePrev,24.2,2020
13121000100,ACCESS2_CrudePrev,10.2,2020
13121000200,ACCESS2_CrudePrev,10.8,2020
13121000400,ACCESS2_CrudePrev,10.9,2020
13121000500,ACCESS2_CrudePrev,13.3,2020
13121000600,ACCESS2_CrudePrev,20.6,2020
13121000700,ACCESS2_CrudePrev,30.9,2020
13121001001,ACCESS2_CrudePrev,17.2,2020
13121001002,ACCESS2_CrudePrev,22.0,2020
13121001100,ACCESS2_CrudePrev,12.4,2020
13121001201,ACCESS2_CrudePrev,14.3,2020
13121001202,ACCESS2_CrudePrev,12.6,2020
13121001300,ACCESS2_CrudePrev,16.0,2020
13121001400,ACCESS2_CrudePrev,12.1,2020
13121001500,ACCESS2_CrudePrev,14.2,2020
13121001600,ACCESS2_CrudePrev,11.7,2020
13121001700,ACCESS2_CrudePrev,14.8,2020
13121001800,ACCESS2_CrudePrev,18.9,2020
13121001900,ACCESS2_CrudePrev,20.5,2020
13121002100,ACCESS2_CrudePrev,26.1,2020
13121002300,ACCESS2_CrudePrev,31.9,2020
13121002400,ACCESS2_CrudePrev,27.9,2020
13121002500,ACCESS2_CrudePrev,27.5,2020
13121002600,ACCESS2_CrudePrev,28.9,2020
13121002800,ACCESS2_CrudePrev,22.4,2020
13121002900,ACCESS2_CrudePrev,18.3,2020
13121003000,ACCESS2_CrudePrev,11.1,2020
13121003100,ACCESS2_CrudePrev,19.1,2020
13121003200,ACCESS2_CrudePrev,14.5,2020
13121003500,ACCESS2_CrudePrev,30.3,2020
13121003600,ACCESS2_CrudePrev,24.6,2020
13121003800,ACCESS2_CrudePrev,26.9,2020
13121003900,ACCESS2_CrudePrev,30.0,2020
13121004000,ACCESS2_CrudePrev,27.0,2020
13121004100,ACCESS2_CrudePrev,25.4,2020
13121004200,ACCESS2_CrudePrev,29.9,2020
13121004300,ACCESS2_CrudePrev,24.9,2020
13121004400,ACCESS2_CrudePrev,34.5,2020
13121004800,ACCESS2_CrudePrev,26.2,2020
13121004900,ACCESS2_CrudePrev,15.8,2020
13121005000,ACCESS2_CrudePrev,14.3,2020
13121005200,ACCESS2_CrudePrev,14.4,2020
13121005300,ACCESS2_CrudePrev,13.0,2020
13121005501,ACCESS2_CrudePrev,27.1,2020
13121005502,ACCESS2_CrudePrev,32.3,2020
13121005700,ACCESS2_CrudePrev,28.9,2020
