race_pc_white,race_pc_black,race_pc_asian,race_pc_hispanic,pov_total,snaphh_total,medicaid_pc_covered,TractFIPS
37.3,13.0,45.7,5.3,484.0,3060.0,2.8,13121010122
66.8,22.8,8.0,17.1,444.0,2297.0,9.7,13121010123
92.1,5.1,2.3,3.0,100.0,1119.0,2.5,13121010211
78.2,13.8,3.6,5.6,379.0,3203.0,3.1,13089021102
51.9,15.2,29.5,1.4,76.0,4112.0,3.3,13089021216
84.0,6.0,8.1,6.7,150.0,1468.0,4.0,13089021101
35.6,8.0,54.0,6.4,521.0,2638.0,2.3,13089021215
73.6,17.1,7.5,8.1,196.0,950.0,3.2,13089021217
45.5,33.2,16.3,7.3,664.0,3450.0,6.4,13089021218
62.6,13.8,7.1,45.9,1398.0,1492.0,26.7,13089021305
2.4,95.6,0.0,2.9,914.0,1026.0,37.2,13121007602
63.4,32.6,2.3,4.9,335.0,2645.0,8.2,13121001700
0.5,97.1,0.0,1.0,2568.0,3759.0,31.5,13121007802
4.2,94.6,1.1,1.6,493.0,1317.0,35.8,13121007805
84.1,9.8,5.0,3.0,92.0,1422.0,1.9,13121009700
86.7,5.6,5.7,3.8,215.0,2271.0,1.5,13121010206
10.4,86.5,1.4,6.2,1901.0,4018.0,27.4,13121011303
65.7,4.2,3.2,45.8,1313.0,1960.0,15.4,13121010212
11.0,86.9,0.6,5.1,815.0,2057.0,16.1,13121010515
3.8,91.5,0.3,0.1,897.0,2624.0,24.7,13121010516
2.5,93.4,1.2,1.5,939.0,2310.0,34.3,13121011305
6.5,89.5,0.0,1.1,536.0,998.0,32.3,13121011306
78.5,11.9,7.7,6.2,309.0,2017.0,6.0,13121011416
74.2,12.3,6.1,6.9,189.0,2283.0,8.5,13121011417
95.8,3.8,0.4,4.7,101.0,2105.0,5.3,13121011418
76.7,7.7,10.0,0.9,200.0,983.0,4.9,13089020200
56.1,8.2,18.9,60.6,1519.0,1695.0,23.8,13089021303
84.4,3.8,3.4,11.0,249.0,2281.0,3.1,13089021405
85.0,2.5,6.2,1.4,183.0,1245.0,2.4,13089020400
64.5,23.6,0.5,0.7,141.0,1046.0,8.1,13089020801
88.9,1.3,9.1,2.5,116.0,1987.0,2.9,13089021210
78.1,9.5,7.3,6.5,236.0,2044.0,3.8,13089021211
66.6,16.9,11.7,8.3,219.0,2325.0,3.7,13089021706
84.9,10.7,1.5,2.6,90.0,973.0,6.3,13089023000
71.1,16.1,5.2,31.8,182.0,858.0,10.7,13089021812
21.4,75.0,0.0,3.4,727.0,3567.0,14.1,13089021907
70.7,9.8,13.6,4.7,983.0,3075.0,8.2,13089022301
19.5,78.4,0.7,2.0,532.0,1721.0,15.3,13089023101
7.3,88.4,0.6,1.8,1244.0,1843.0,29.1,13089023108
57.9,28.1,10.7,2.7,392.0,2708.0,5.7,13089021810
12.0,38.4,39.8,1.0,3263.0,2271.0,44.8,13089022008
69.3,24.9,3.2,3.9,266.0,1678.0,7.6,13089022900
35.3,58.5,4.2,4.0,432.0,1539.0,22.9,13089023102
1.0,94.4,0.0,2.1,942.0,1701.0,25.9,13089023410
77.5,17.6,2.4,6.2,718.0,2108.0,6.4,13121005200
37.0,59.5,0.0,15.2,279.0,384.0,19.7,13121006400
4.0,94.6,0.0,0.4,765.0,690.0,36.5,13121007200
5.4,90.2,0.0,4.9,356.0,1160.0,17.1,13121010508
57.3,13.8,14.4,48.8,1198.0,1941.0,13.4,13089021306
54.5,8.1,25.1,36.4,895.0,1245.0,19.2,13089021307
39.2,11.4,10.5,52.3,949.0,1523.0,28.5,13089021308
53.3,34.6,5.4,48.3,1128.0,1339.0,20.8,13089021409
81.6,7.9,2.8,55.0,991.0,2062.0,18.6,13089021410
79.0,11.0,5.8,3.3,231.0,1788.0,2.1,13089021411
82.9,4.0,8.4,5.3,184.0,1405.0,5.9,13089021412
59.4,12.0,0.0,71.3,935.0,1246.0,23.3,13089021413
42.3,29.1,6.7,43.6,1059.0,1646.0,21.9,13089021414
77.0,5.5,8.8,14.0,322.0,1703.0,4.5,13089021415
70.6,5.9,2.8,42.4,234.0,855.0,12.9,13089021416
86.5,8.2,4.3,3.4,71.0,1019.0,2.4,13121000400
90.0,2.4,2.4,4.9,101.0,2084.0,2.1,13121000100
49.3,19.8,26.6,5.9,2878.0,2994.0,1.5,13121000600
35.8,57.5,3.2,2.3,932.0,714.0,13.5,13121003500
12.9,80.9,3.7,2.3,544.0,741.0,27.7,13121004100
57.7,35.7,2.7,2.7,141.0,1414.0,5.4,13121005000
7.7,92.3,0.0,0.0,1171.0,1235.0,35.6,13121005502
3.8,94.5,0.0,3.1,1118.0,1345.0,36.1,13121006100
8.5,85.1,0.7,2.0,559.0,703.0,32.9,13121006300
11.3,85.8,1.0,3.1,1130.0,1548.0,34.0,13121007500
2.3,94.4,0.0,1.9,1700.0,1049.0,62.1,13121007807
0.0,94.8,0.0,5.2,3513.0,1431.0,63.9,13121007808
2.8,94.5,1.0,4.6,1345.0,2842.0,37.7,13121008102
40.7,38.4,10.3,41.6,1251.0,2321.0,28.2,13089021814
40.6,15.4,3.8,61.6,1714.0,2151.0,21.7,13089021417
55.7,27.3,5.0,12.2,665.0,2589.0,7.4,13089021605
31.5,59.9,3.2,29.4,493.0,1180.0,19.9,13089021813
6.1,89.6,0.0,8.2,697.0,777.0,32.4,13089021911
69.2,14.8,9.4,8.0,737.0,1516.0,14.4,13089021503
66.5,12.9,16.6,3.9,664.0,2514.0,4.5,13089021504
42.8,40.4,2.8,23.2,1712.0,2780.0,21.5,13121010800
66.7,27.0,2.9,27.3,377.0,2896.0,14.1,13121011405
75.3,13.1,8.0,9.4,443.0,3686.0,7.4,13121011412
21.8,71.1,0.0,22.4,1578.0,969.0,39.7,13121011000
37.4,57.8,1.8,0.3,240.0,1148.0,8.8,13121011100
33.5,56.4,8.1,5.0,979.0,885.0,19.9,13121002100
3.9,95.6,0.0,0.9,363.0,2364.0,14.1,13121007900
23.2,72.9,1.6,1.0,1127.0,1459.0,24.3,13121011201
1.1,96.9,0.0,2.1,645.0,756.0,26.8,13121003900
72.9,17.3,3.9,13.3,140.0,2801.0,3.9,13121010210
7.0,87.2,1.4,2.9,254.0,2014.0,13.2,13089023315
2.1,96.5,0.0,0.6,1035.0,2932.0,17.2,13089023316
3.2,94.3,0.1,2.7,846.0,3524.0,15.4,13089023419
1.2,94.3,0.3,2.9,2196.0,3405.0,26.3,13089023421
72.2,23.3,1.0,3.6,221.0,1958.0,6.4,13121010106
4.7,92.6,0.0,0.0,659.0,981.0,40.2,13121008500
60.3,34.0,4.4,5.5,1190.0,4392.0,1.6,13121008902
96.3,0.4,1.2,2.0,204.0,2130.0,1.1,13121009900
90.6,3.8,2.7,5.5,321.0,2652.0,8.6,13121010205
71.8,20.2,4.5,17.4,130.0,2043.0,7.7,13121010208
6.5,91.7,0.0,1.8,1128.0,6495.0,13.5,13121010301
6.0,90.0,2.0,3.2,1632.0,2416.0,35.4,13121010507
89.6,2.4,2.8,5.8,335.0,2696.0,1.6,13121000200
41.9,33.5,18.5,5.4,627.0,1400.0,5.0,13121001900
50.0,39.2,6.4,3.6,353.0,1248.0,12.0,13121002900
80.1,9.4,5.0,3.2,161.0,1837.0,1.7,13121003000
14.9,77.4,5.1,1.9,358.0,606.0,10.5,13121004300
20.3,71.5,3.9,2.7,389.0,576.0,31.0,13121005800
8.1,88.8,0.5,5.5,375.0,969.0,24.4,13089023427
3.2,91.6,0.0,5.5,170.0,2693.0,16.2,13089023423
6.6,92.3,0.0,4.2,713.0,1977.0,27.5,13089023425
2.3,92.9,0.2,1.7,357.0,1615.0,28.0,13089023426
1.4,95.8,0.8,1.7,2181.0,3806.0,31.7,13089023428
-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,-666666666.0,13089980000
2.0,97.2,0.0,2.6,1069.0,1884.0,28.8,13089023422
6.5,92.4,0.0,5.2,975.0,1755.0,17.2,13089023424
5.7,93.3,0.0,3.5,755.0,883.0,29.2,13121008301
4.0,90.7,0.0,2.5,1892.0,2891.0,30.1,13121007300
2.5,96.9,0.2,0.2,1090.0,2412.0,22.6,13121007806
4.3,93.8,0.0,0.7,1251.0,1941.0,36.8,13121008000
10.8,86.6,0.6,1.5,1008.0,1187.0,38.2,13121008400
7.3,89.5,0.0,0.8,280.0,602.0,30.2,13121008602
82.4,8.1,8.7,3.3,171.0,2249.0,2.3,13121009000
93.6,3.9,1.5,11.2,839.0,2517.0,1.9,13121009300
49.8,20.0,24.3,8.9,956.0,2884.0,1.7,13121009402
