,13121008500,Center Hill,Grove Park,Historic Westin Heights/Bankhead,Knight Park/Howell Station,cityAVG
race_pc_white,4.7,2.8889983867264117,6.3621531772242905,11.072075233686766,30.7176851623313,40.924105304441625
race_pc_black,92.6,96.16826299324592,91.65348344330823,85.13465172544556,60.63659800129869,51.64102955355099
race_pc_asian,0.0,0.0,0.04262661777038784,0.3357873597295377,1.1576673230795838,3.8032570595156394
race_pc_hispanic,0.0,2.1226443130150465,1.1241735219287852,2.0636846994412226,7.80289692233247,4.271460233029382
pov_total,659.0,1485.057902620803,883.181282890158,535.714503472614,145.04856197644935,860.6165943556558
snaphh_total,981.0,1358.8235103503775,1249.0299840769871,710.5036688180411,421.5486261080948,2127.0721210412785
medicaid_pc_covered,40.2,35.50899859436943,36.83732973449325,34.56580431246029,12.39571147443614,17.668735088407363
pop_total,2551.0,3833.85222986963,3123.925536676382,2186.3880001391567,3431.173885740231,
medhhinc_all,24890.0,23709.56558629244,26000.76926321901,36903.591665116954,84509.67796847416,69735.50277192208
housing_total,1581.0,2005.6543167061143,1826.037592297436,1280.9208631379233,509.08080208358814,2481.2944222472793
housing_pc_vacant,38.0,33.838479751553585,34.13523280630917,41.94238906168371,16.90772132474491,15.4963640226166
housing_pc_owneroccupied,38.6,31.606769380199495,35.627967280567525,36.10129392629349,69.55811332075895,44.73436080334673
housing_pc_renteroccupied,61.4,68.39323061980048,64.37203271943247,63.87979110362983,30.441886679241044,55.26563919665327
housing_medval,57800.0,78412.88218234072,81311.7304906873,119746.12145655301,297486.9134600678,315215.4704709612
housing_medgrossrent,1029.0,736.3134916228959,927.5953939586896,882.5540456894048,1292.1744373364365,1217.563831829918
housing_pc_renttoinc_3034,2.8,15.502392071215791,8.192499495506105,6.780549499668877,0.7168145749197989,8.73823414060202
housing_pc_renttoinc_over35,65.6,57.85580308241121,58.62401577473486,50.742224305752266,39.24763504667349,40.16472958950224
